#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3514.191275090379     All      -0.17814529661025147       0.08257456107036987       0.006056912002641824       0.08519532723940823        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7462.122820993315     All      0.2042690823961963         -0.02352165362040637      0.08377289313763947        -0.07046053734747429       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6080.716575414858     All      0.5997926987006694         -0.018030074405039898     0.08108601823980825        -0.1976267063865979        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4300.156011397537     All      -0.3149022282451042        0.20163685392375896       -0.12632575164616144       0.1626164345906642         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4286.8693654271265    All      -0.2879187669926969        0.2001858229450093        -0.005994399293630312      0.15872422059755015        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7434.60710694082      All      0.21430395620286108        -0.021641710395403635     0.11929109525539142        -0.0715318522958554        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4697.517611687513     All      -0.279017304900779         0.3378140071149893        0.10023427536559369        0.2053952468211253         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5307.042941502129     All      0.2554831820088971         0.12397371331172025       -0.09571498290876346       -0.0471082805718819        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5252.98658431798      All      0.22911052283740146        0.14178465187839606       -0.11867935533967193       -0.033741023661413835      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6129.102209594872     All      0.5520210385140387         -0.02773914022027313      -0.04295293401290402       -0.19076375592641034       
Check         All|All|All                                All                   All      0.9949968839112323         0.9970370316031207        0.0007737707999435073      0.0006990730591142358      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3514.191275090379     All      -0.0002298814754495748     8.928726600581702e-05     -0.00011796238752341401    9.86996398582033e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7462.122820993315     All      -5.317326575565185e-05     1.1110757749447166e-06    -7.285596056271893e-05     1.4430969033714681e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6080.716575414858     All      -3.302058120948275e-05     -1.151138591437894e-05    -0.00015169639440053208    2.3673917336511853e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4300.156011397537     All      -0.00019644891739091654    6.261799476549552e-05     -0.0004485772626811967     6.436867334497985e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4286.8693654271265    All      -0.00016450046919785807    5.7205812676454837e-05    -0.00034787739842905116    5.669285937769801e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7434.60710694082      All      -2.127287544216762e-05     1.57000812924195e-06      -1.626312796676842e-05     6.714929980443745e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4697.517611687513     All      -7.159889286715005e-05     -4.785946203180278e-05    -0.0006601837207118948     -2.172825371406591e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5307.042941502129     All      6.1028271700737815e-05     1.1255647230264588e-05    -0.00044793216135004737    -3.6201736343788184e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5252.98658431798      All      6.490228168256339e-05      2.6320632396775045e-05    -0.0004800760488873352     -3.399090162324211e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6129.102209594872     All      -7.349430147976033e-05     -9.096168584284444e-06    -0.00015112417633528338    1.4232612618091877e-05     
MWEBV         All|All|All                                All                   All      -0.9724280554199747        -3.9313628623302677       0.045091245032788996       -0.9618101975051468        
Redshift      All|All|All                                All                   All      4.78838008120643           0.6063065145880842        5.58263558482305           -1.1131115607484           
